Name,Date,Open,High,Low,Close,Volume
ILS,20110727,5.6462,5.6462,5.6462,5.6462,0
ILS,20110728,0.8154,0.8154,0.8154,0.8154,0
ILS,20110729,0.8188,0.8188,0.8188,0.8188,0
ILS,20110801,0.8114,0.8114,0.8114,0.8114,0
ILS,20110802,0.8219,0.8219,0.8219,0.8219,0
ILS,20110803,0.8133,0.8133,0.8133,0.8133,0
ILS,20110804,0.8112,0.8112,0.8112,0.8112,0
ILS,20110805,0.8106,0.8106,0.8106,0.8106,0
ILS,20110808,0.7996,0.7996,0.7996,0.7996,0
ILS,20110809,0.8058,0.8058,0.8058,0.8058,0
ILS,20110810,0.8096,0.8096,0.8096,0.8096,0
ILS,20110811,0.8256,0.8256,0.8256,0.8256,0
ILS,20110812,0.8218,0.8218,0.8218,0.8218,0
ILS,20110816,0.8178,0.8178,0.8178,0.8178,0
ILS,20110817,0.8165,0.8165,0.8165,0.8165,0
ILS,20110818,0.8094,0.8094,0.8094,0.8094,0
ILS,20110819,0.8164,0.8164,0.8164,0.8164,0
ILS,20110822,0.8098,0.8098,0.8098,0.8098,0
ILS,20110823,0.8018,0.8018,0.8018,0.8018,0
ILS,20110824,0.8010,0.8010,0.8010,0.8010,0
ILS,20110825,0.7966,0.7966,0.7966,0.7966,0
ILS,20110826,0.7961,0.7961,0.7961,0.7961,0
ILS,20110829,0.7938,0.7938,0.7938,0.7938,0
ILS,20110830,0.8048,0.8048,0.8048,0.8048,0
ILS,20110831,0.8047,0.8047,0.8047,0.8047,0
ILS,20110901,0.8120,0.8120,0.8120,0.8120,0
ILS,20110902,0.8163,0.8163,0.8163,0.8163,0
ILS,20110905,0.8208,0.8208,0.8208,0.8208,0
ILS,20110906,0.8168,0.8168,0.8168,0.8168,0
ILS,20110907,0.8165,0.8165,0.8165,0.8165,0
ILS,20110908,0.8160,0.8160,0.8160,0.8160,0
ILS,20110909,0.8407,0.8407,0.8407,0.8407,0
ILS,20110912,0.8565,0.8565,0.8565,0.8565,0
ILS,20110913,0.8631,0.8631,0.8631,0.8631,0
ILS,20110914,0.8514,0.8514,0.8514,0.8514,0
ILS,20110915,0.8614,0.8614,0.8614,0.8614,0
ILS,20110916,0.8601,0.8601,0.8601,0.8601,0
ILS,20110919,0.8623,0.8623,0.8623,0.8623,0
ILS,20110920,0.8671,0.8671,0.8671,0.8671,0
ILS,20110921,0.8723,0.8723,0.8723,0.8723,0
ILS,20110922,0.8893,0.8893,0.8893,0.8893,0
ILS,20110923,0.8941,0.8941,0.8941,0.8941,0
ILS,20110926,0.8797,0.8797,0.8797,0.8797,0
ILS,20110927,0.8763,0.8763,0.8763,0.8763,0
ILS,20110928,0.8728,0.8728,0.8728,0.8728,0
ILS,20110929,0.8738,0.8738,0.8738,0.8738,0
ILS,20110930,0.8717,0.8717,0.8717,0.8717,0
ILS,20111003,0.8869,0.8869,0.8869,0.8869,0
ILS,20111004,0.8847,0.8847,0.8847,0.8847,0
ILS,20111005,0.8831,0.8831,0.8831,0.8831,0
ILS,20111006,0.8805,0.8805,0.8805,0.8805,0
ILS,20111007,0.8807,0.8807,0.8807,0.8807,0
ILS,20111010,0.8660,0.8660,0.8660,0.8660,0
ILS,20111011,0.8659,0.8659,0.8659,0.8659,0
ILS,20111012,0.8541,0.8541,0.8541,0.8541,0
ILS,20111013,0.8583,0.8583,0.8583,0.8583,0
ILS,20111014,0.8508,0.8508,0.8508,0.8508,0
ILS,20111017,0.8468,0.8468,0.8468,0.8468,0
ILS,20111018,0.8727,0.8727,0.8727,0.8727,0
ILS,20111019,0.8605,0.8605,0.8605,0.8605,0
ILS,20111020,0.8743,0.8743,0.8743,0.8743,0
ILS,20111021,0.8750,0.8750,0.8750,0.8750,0
ILS,20111024,0.8744,0.8744,0.8744,0.8744,0
ILS,20111025,0.8614,0.8614,0.8614,0.8614,0
ILS,20111026,0.8634,0.8634,0.8634,0.8634,0
ILS,20111027,0.8561,0.8561,0.8561,0.8561,0
ILS,20111028,0.8474,0.8474,0.8474,0.8474,0
ILS,20111031,0.8599,0.8599,0.8599,0.8599,0
ILS,20111102,0.8807,0.8807,0.8807,0.8807,0
ILS,20111103,0.8648,0.8648,0.8648,0.8648,0
ILS,20111104,0.8574,0.8574,0.8574,0.8574,0
ILS,20111107,0.8664,0.8664,0.8664,0.8664,0
ILS,20111108,0.8639,0.8639,0.8639,0.8639,0
ILS,20111109,0.8631,0.8631,0.8631,0.8631,0
ILS,20111110,0.8650,0.8650,0.8650,0.8650,0
ILS,20111114,0.8646,0.8646,0.8646,0.8646,0
ILS,20111115,0.8719,0.8719,0.8719,0.8719,0
ILS,20111116,0.8761,0.8761,0.8761,0.8761,0
ILS,20111117,0.8842,0.8842,0.8842,0.8842,0
ILS,20111118,0.8769,0.8769,0.8769,0.8769,0
ILS,20111121,0.8840,0.8840,0.8840,0.8840,0
ILS,20111122,0.8807,0.8807,0.8807,0.8807,0
ILS,20111123,0.8832,0.8832,0.8832,0.8832,0
ILS,20111124,0.8876,0.8876,0.8876,0.8876,0
ILS,20111125,0.8957,0.8957,0.8957,0.8957,0
ILS,20111128,0.8901,0.8901,0.8901,0.8901,0
ILS,20111129,0.8965,0.8965,0.8965,0.8965,0
ILS,20111130,0.9025,0.9025,0.9025,0.9025,0
ILS,20111201,0.8884,0.8884,0.8884,0.8884,0
ILS,20111202,0.8910,0.8910,0.8910,0.8910,0
ILS,20111205,0.8934,0.8934,0.8934,0.8934,0
ILS,20111206,0.8952,0.8952,0.8952,0.8952,0
ILS,20111207,0.8884,0.8884,0.8884,0.8884,0
ILS,20111208,0.8918,0.8918,0.8918,0.8918,0
ILS,20111209,0.8989,0.8989,0.8989,0.8989,0
ILS,20111212,0.9068,0.9068,0.9068,0.9068,0
ILS,20111213,0.9136,0.9136,0.9136,0.9136,0
ILS,20111214,0.9220,0.9220,0.9220,0.9220,0
ILS,20111215,0.9197,0.9197,0.9197,0.9197,0
ILS,20111216,0.9120,0.9120,0.9120,0.9120,0
ILS,20111219,0.9100,0.9100,0.9100,0.9100,0
ILS,20111220,0.9014,0.9014,0.9014,0.9014,0
ILS,20111221,0.8978,0.8978,0.8978,0.8978,0
ILS,20111222,0.9009,0.9009,0.9009,0.9009,0
ILS,20111223,0.8975,0.8975,0.8975,0.8975,0
ILS,20111227,0.8939,0.8939,0.8939,0.8939,0
ILS,20111228,0.8869,0.8869,0.8869,0.8869,0
ILS,20111229,0.8956,0.8956,0.8956,0.8956,0
ILS,20111230,0.8949,0.8949,0.8949,0.8949,0
ILS,20120102,0.9041,0.9041,0.9041,0.9041,0
ILS,20120103,0.9002,0.9002,0.9002,0.9002,0
ILS,20120104,0.8918,0.8918,0.8918,0.8918,0
ILS,20120105,0.9132,0.9132,0.9132,0.9132,0
ILS,20120109,0.9163,0.9163,0.9163,0.9163,0
ILS,20120110,0.9162,0.9162,0.9162,0.9162,0
ILS,20120111,0.9098,0.9098,0.9098,0.9098,0
ILS,20120112,0.9095,0.9095,0.9095,0.9095,0
ILS,20120113,0.8954,0.8954,0.8954,0.8954,0
ILS,20120116,0.9037,0.9037,0.9037,0.9037,0
ILS,20120117,0.8919,0.8919,0.8919,0.8919,0
ILS,20120118,0.8910,0.8910,0.8910,0.8910,0
ILS,20120119,0.8895,0.8895,0.8895,0.8895,0
ILS,20120120,0.8854,0.8854,0.8854,0.8854,0
ILS,20120123,0.8794,0.8794,0.8794,0.8794,0
ILS,20120124,0.8695,0.8695,0.8695,0.8695,0
ILS,20120125,0.8718,0.8718,0.8718,0.8718,0
ILS,20120126,0.8604,0.8604,0.8604,0.8604,0
ILS,20120127,0.8578,0.8578,0.8578,0.8578,0
ILS,20120130,0.8624,0.8624,0.8624,0.8624,0
ILS,20120131,0.8571,0.8571,0.8571,0.8571,0
ILS,20120201,0.8557,0.8557,0.8557,0.8557,0
ILS,20120202,0.8573,0.8573,0.8573,0.8573,0
ILS,20120203,0.8557,0.8557,0.8557,0.8557,0
ILS,20120206,0.8611,0.8611,0.8611,0.8611,0
ILS,20120207,0.8535,0.8535,0.8535,0.8535,0
ILS,20120208,0.8503,0.8503,0.8503,0.8503,0
ILS,20120209,0.8499,0.8499,0.8499,0.8499,0
ILS,20120210,0.8541,0.8541,0.8541,0.8541,0
ILS,20120213,0.8505,0.8505,0.8505,0.8505,0
ILS,20120214,0.8524,0.8524,0.8524,0.8524,0
ILS,20120215,0.8496,0.8496,0.8496,0.8496,0
ILS,20120216,0.8626,0.8626,0.8626,0.8626,0
ILS,20120217,0.8504,0.8504,0.8504,0.8504,0
ILS,20120220,0.8477,0.8477,0.8477,0.8477,0
ILS,20120221,0.8436,0.8436,0.8436,0.8436,0
ILS,20120222,0.8446,0.8446,0.8446,0.8446,0
ILS,20120223,0.8362,0.8362,0.8362,0.8362,0
ILS,20120224,0.8281,0.8281,0.8281,0.8281,0
ILS,20120227,0.8201,0.8201,0.8201,0.8201,0
ILS,20120228,0.8173,0.8173,0.8173,0.8173,0
ILS,20120229,0.8163,0.8163,0.8163,0.8163,0
ILS,20120301,0.8164,0.8164,0.8164,0.8164,0
ILS,20120302,0.8179,0.8179,0.8179,0.8179,0
ILS,20120305,0.8257,0.8257,0.8257,0.8257,0
ILS,20120306,0.8258,0.8258,0.8258,0.8258,0
ILS,20120307,0.8316,0.8316,0.8316,0.8316,0
ILS,20120308,0.8268,0.8268,0.8268,0.8268,0
ILS,20120309,0.8222,0.8222,0.8222,0.8222,0
ILS,20120312,0.8243,0.8243,0.8243,0.8243,0
ILS,20120313,0.8305,0.8305,0.8305,0.8305,0
ILS,20120314,0.8386,0.8386,0.8386,0.8386,0
ILS,20120315,0.8380,0.8380,0.8380,0.8380,0
ILS,20120316,0.8407,0.8407,0.8407,0.8407,0
ILS,20120319,0.8340,0.8340,0.8340,0.8340,0
ILS,20120320,0.8347,0.8347,0.8347,0.8347,0
ILS,20120321,0.8344,0.8344,0.8344,0.8344,0
ILS,20120322,0.8439,0.8439,0.8439,0.8439,0
ILS,20120323,0.8411,0.8411,0.8411,0.8411,0
ILS,20120326,0.8390,0.8390,0.8390,0.8390,0
ILS,20120327,0.8325,0.8325,0.8325,0.8325,0
ILS,20120328,0.8347,0.8347,0.8347,0.8347,0
ILS,20120329,0.8391,0.8391,0.8391,0.8391,0
ILS,20120330,0.8396,0.8396,0.8396,0.8396,0
ILS,20120402,0.8340,0.8340,0.8340,0.8340,0
ILS,20120403,0.8321,0.8321,0.8321,0.8321,0
ILS,20120404,0.8412,0.8412,0.8412,0.8412,0
ILS,20120405,0.8465,0.8465,0.8465,0.8465,0
ILS,20120406,0.8515,0.8515,0.8515,0.8515,0
ILS,20120410,0.8521,0.8521,0.8521,0.8521,0
ILS,20120411,0.8526,0.8526,0.8526,0.8526,0
ILS,20120412,0.8464,0.8464,0.8464,0.8464,0
ILS,20120413,0.8474,0.8474,0.8474,0.8474,0
ILS,20120416,0.8579,0.8579,0.8579,0.8579,0
ILS,20120417,0.8491,0.8491,0.8491,0.8491,0
ILS,20120418,0.8482,0.8482,0.8482,0.8482,0
ILS,20120419,0.8481,0.8481,0.8481,0.8481,0
ILS,20120420,0.8478,0.8478,0.8478,0.8478,0
ILS,20120423,0.8487,0.8487,0.8487,0.8487,0
ILS,20120424,0.8497,0.8497,0.8497,0.8497,0
ILS,20120425,0.8444,0.8444,0.8444,0.8444,0
ILS,20120426,0.8427,0.8427,0.8427,0.8427,0
ILS,20120427,0.8433,0.8433,0.8433,0.8433,0
ILS,20120430,0.8408,0.8408,0.8408,0.8408,0
ILS,20120502,0.8335,0.8335,0.8335,0.8335,0
ILS,20120504,0.8432,0.8432,0.8432,0.8432,0
ILS,20120507,0.8477,0.8477,0.8477,0.8477,0
ILS,20120508,0.8473,0.8473,0.8473,0.8473,0
ILS,20120509,0.8497,0.8497,0.8497,0.8497,0
ILS,20120510,0.8565,0.8565,0.8565,0.8565,0
ILS,20120511,0.8583,0.8583,0.8583,0.8583,0
ILS,20120514,0.8719,0.8719,0.8719,0.8719,0
ILS,20120515,0.8783,0.8783,0.8783,0.8783,0
ILS,20120516,0.8950,0.8950,0.8950,0.8950,0
ILS,20120517,0.8938,0.8938,0.8938,0.8938,0
ILS,20120518,0.8968,0.8968,0.8968,0.8968,0
ILS,20120521,0.8871,0.8871,0.8871,0.8871,0
ILS,20120522,0.8846,0.8846,0.8846,0.8846,0
ILS,20120523,0.8934,0.8934,0.8934,0.8934,0
ILS,20120524,0.9034,0.9034,0.9034,0.9034,0
ILS,20120525,0.8989,0.8989,0.8989,0.8989,0
ILS,20120528,0.8965,0.8965,0.8965,0.8965,0
ILS,20120529,0.8961,0.8961,0.8961,0.8961,0
ILS,20120530,0.9058,0.9058,0.9058,0.9058,0
ILS,20120531,0.9090,0.9090,0.9090,0.9090,0
ILS,20120601,0.9135,0.9135,0.9135,0.9135,0
ILS,20120604,0.9092,0.9092,0.9092,0.9092,0
ILS,20120605,0.9074,0.9074,0.9074,0.9074,0
ILS,20120606,0.8904,0.8904,0.8904,0.8904,0
