Name,Date,Open,High,Low,Close,Volume
AGI004,20120423,100.25,100.25,100.25,100.25,0
AGI004,20120424,100.27,100.27,100.27,100.27,0
AGI004,20120425,100.28,100.28,100.28,100.28,0
AGI004,20120426,100.28,100.28,100.28,100.28,0
AGI004,20120427,100.26,100.26,100.26,100.26,0
AGI004,20120430,100.29,100.29,100.29,100.29,0
AGI004,20120502,100.30,100.30,100.30,100.30,0
AGI004,20120504,100.32,100.32,100.32,100.32,0
AGI004,20120507,100.35,100.35,100.35,100.35,0
AGI004,20120508,100.36,100.36,100.36,100.36,0
AGI004,20120509,100.36,100.36,100.36,100.36,0
AGI004,20120510,100.38,100.38,100.38,100.38,0
AGI004,20120511,100.39,100.39,100.39,100.39,0
AGI004,20120514,100.59,100.59,100.59,100.59,0
AGI004,20120515,100.58,100.58,100.58,100.58,0
AGI004,20120516,100.61,100.61,100.61,100.61,0
AGI004,20120517,100.53,100.53,100.53,100.53,0
AGI004,20120518,100.55,100.55,100.55,100.55,0
AGI004,20120521,100.60,100.60,100.60,100.60,0
AGI004,20120522,100.61,100.61,100.61,100.61,0
AGI004,20120523,100.63,100.63,100.63,100.63,0
AGI004,20120524,100.63,100.63,100.63,100.63,0
AGI004,20120525,100.64,100.64,100.64,100.64,0
AGI004,20120528,100.69,100.69,100.69,100.69,0
AGI004,20120529,100.70,100.70,100.70,100.70,0
AGI004,20120530,100.68,100.68,100.68,100.68,0
AGI004,20120531,100.69,100.69,100.69,100.69,0
AGI004,20120601,100.70,100.70,100.70,100.70,0
AGI004,20120604,100.75,100.75,100.75,100.75,0
AGI004,20120605,100.75,100.75,100.75,100.75,0
AGI004,20120606,100.87,100.87,100.87,100.87,0
AGI004,20120608,100.88,100.88,100.88,100.88,0
AGI004,20120611,100.91,100.91,100.91,100.91,0
AGI004,20120612,100.89,100.89,100.89,100.89,0
AGI004,20120613,100.89,100.89,100.89,100.89,0
AGI004,20120614,100.89,100.89,100.89,100.89,0
AGI004,20120615,100.90,100.90,100.90,100.90,0
AGI004,20120618,100.93,100.93,100.93,100.93,0
AGI004,20120619,100.93,100.93,100.93,100.93,0
AGI004,20120620,100.93,100.93,100.93,100.93,0
AGI004,20120621,100.95,100.95,100.95,100.95,0
AGI004,20120622,101.00,101.00,101.00,101.00,0
AGI004,20120625,101.06,101.06,101.06,101.06,0
AGI004,20120626,101.08,101.08,101.08,101.08,0
AGI004,20120627,101.10,101.10,101.10,101.10,0
AGI004,20120628,101.12,101.12,101.12,101.12,0
AGI004,20120629,101.14,101.14,101.14,101.14,0
AGI004,20120702,101.20,101.20,101.20,101.20,0
AGI004,20120703,101.23,101.23,101.23,101.23,0
AGI004,20120704,101.25,101.25,101.25,101.25,0
AGI004,20120705,101.27,101.27,101.27,101.27,0
AGI004,20120706,101.28,101.28,101.28,101.28,0
AGI004,20120709,101.34,101.34,101.34,101.34,0
AGI004,20120710,101.34,101.34,101.34,101.34,0
AGI004,20120711,101.27,101.27,101.27,101.27,0
AGI004,20120712,101.30,101.30,101.30,101.30,0
AGI004,20120713,101.32,101.32,101.32,101.32,0
AGI004,20120716,101.37,101.37,101.37,101.37,0
AGI004,20120717,101.32,101.32,101.32,101.32,0
AGI004,20120718,101.34,101.34,101.34,101.34,0
AGI004,20120719,101.38,101.38,101.38,101.38,0
AGI004,20120720,101.40,101.40,101.40,101.40,0
AGI004,20120723,101.48,101.48,101.48,101.48,0
AGI004,20120724,101.48,101.48,101.48,101.48,0
AGI004,20120725,101.50,101.50,101.50,101.50,0
AGI004,20120726,101.52,101.52,101.52,101.52,0
AGI004,20120727,101.54,101.54,101.54,101.54,0
AGI004,20120730,101.61,101.61,101.61,101.61,0
AGI004,20120731,101.63,101.63,101.63,101.63,0
AGI004,20120801,101.78,101.78,101.78,101.78,0
AGI004,20120802,101.80,101.80,101.80,101.80,0
AGI004,20120803,101.77,101.77,101.77,101.77,0
