Name,Date,Open,High,Low,Close,Volume
AIG017,20121220,5.12,5.12,5.12,5.12,0
AIG017,20121221,5.11,5.11,5.11,5.11,0
AIG017,20121227,5.09,5.09,5.09,5.09,0
AIG017,20121228,5.08,5.08,5.08,5.08,0
AIG017,20130102,5.16,5.16,5.16,5.16,0
AIG017,20130103,5.18,5.18,5.18,5.18,0
AIG017,20130104,5.27,5.27,5.27,5.27,0
AIG017,20130107,5.27,5.27,5.27,5.27,0
AIG017,20130108,5.25,5.25,5.25,5.25,0
AIG017,20130109,5.25,5.25,5.25,5.25,0
AIG017,20130110,5.24,5.24,5.24,5.24,0
AIG017,20130111,5.24,5.24,5.24,5.24,0
AIG017,20130114,5.23,5.23,5.23,5.23,0
AIG017,20130115,5.23,5.23,5.23,5.23,0
AIG017,20130116,5.26,5.26,5.26,5.26,0
AIG017,20130117,5.25,5.25,5.25,5.25,0
AIG017,20130118,5.27,5.27,5.27,5.27,0
AIG017,20130121,5.31,5.31,5.31,5.31,0
AIG017,20130122,5.31,5.31,5.31,5.31,0
AIG017,20130123,5.31,5.31,5.31,5.31,0
AIG017,20130124,5.35,5.35,5.35,5.35,0
AIG017,20130125,5.37,5.37,5.37,5.37,0
AIG017,20130128,5.36,5.36,5.36,5.36,0
AIG017,20130129,5.38,5.38,5.38,5.38,0
AIG017,20130130,5.36,5.36,5.36,5.36,0
AIG017,20130131,5.36,5.36,5.36,5.36,0
AIG017,20130201,5.37,5.37,5.37,5.37,0
AIG017,20130204,5.32,5.32,5.32,5.32,0
AIG017,20130205,5.34,5.34,5.34,5.34,0
AIG017,20130206,5.33,5.33,5.33,5.33,0
AIG017,20130207,5.32,5.32,5.32,5.32,0
AIG017,20130208,5.34,5.34,5.34,5.34,0
AIG017,20130211,5.33,5.33,5.33,5.33,0
AIG017,20130212,5.36,5.36,5.36,5.36,0
AIG017,20130213,5.37,5.37,5.37,5.37,0
AIG017,20130214,5.37,5.37,5.37,5.37,0
AIG017,20130215,5.41,5.41,5.41,5.41,0
AIG017,20130218,5.39,5.39,5.39,5.39,0
AIG017,20130219,5.42,5.42,5.42,5.42,0
AIG017,20130220,5.40,5.40,5.40,5.40,0
AIG017,20130221,5.38,5.38,5.38,5.38,0
AIG017,20130222,5.38,5.38,5.38,5.38,0
AIG017,20130225,5.38,5.38,5.38,5.38,0
AIG017,20130226,5.36,5.36,5.36,5.36,0
AIG017,20130227,5.38,5.38,5.38,5.38,0
AIG017,20130228,5.41,5.41,5.41,5.41,0
AIG017,20130301,5.40,5.40,5.40,5.40,0
AIG017,20130304,5.43,5.43,5.43,5.43,0
AIG017,20130305,5.47,5.47,5.47,5.47,0
AIG017,20130306,5.47,5.47,5.47,5.47,0
AIG017,20130307,5.50,5.50,5.50,5.50,0
AIG017,20130308,5.48,5.48,5.48,5.48,0
AIG017,20130311,5.50,5.50,5.50,5.50,0
AIG017,20130312,5.51,5.51,5.51,5.51,0
AIG017,20130313,5.50,5.50,5.50,5.50,0
AIG017,20130314,5.53,5.53,5.53,5.53,0
AIG017,20130315,5.54,5.54,5.54,5.54,0
AIG017,20130318,5.52,5.52,5.52,5.52,0
AIG017,20130319,5.53,5.53,5.53,5.53,0
AIG017,20130320,5.55,5.55,5.55,5.55,0
AIG017,20130321,5.55,5.55,5.55,5.55,0
