Name,Date,Open,High,Low,Close,Volume
BPS006,20130925,1000.00,1000.00,1000.00,1000.00,0
BPS006,20130926,1001.41,1001.41,1001.41,1001.41,0
BPS006,20130927,1001.44,1001.44,1001.44,1001.44,0
BPS006,20130930,1001.54,1001.54,1001.54,1001.54,0
BPS006,20131001,1004.41,1004.41,1004.41,1004.41,0
BPS006,20131002,1004.39,1004.39,1004.39,1004.39,0
BPS006,20131003,1004.84,1004.84,1004.84,1004.84,0
BPS006,20131004,1005.29,1005.29,1005.29,1005.29,0
BPS006,20131007,1006.02,1006.02,1006.02,1006.02,0
BPS006,20131008,1006.15,1006.15,1006.15,1006.15,0
BPS006,20131009,1005.96,1005.96,1005.96,1005.96,0
BPS006,20131010,1006.16,1006.16,1006.16,1006.16,0
BPS006,20131011,1006.02,1006.02,1006.02,1006.02,0
BPS006,20131014,1005.56,1005.56,1005.56,1005.56,0
BPS006,20131015,1005.56,1005.56,1005.56,1005.56,0
BPS006,20131016,1005.69,1005.69,1005.69,1005.69,0
BPS006,20131017,1005.38,1005.38,1005.38,1005.38,0
BPS006,20131018,1005.54,1005.54,1005.54,1005.54,0
BPS006,20131021,1006.17,1006.17,1006.17,1006.17,0
BPS006,20131022,1006.42,1006.42,1006.42,1006.42,0
BPS006,20131023,1006.82,1006.82,1006.82,1006.82,0
BPS006,20131024,1006.42,1006.42,1006.42,1006.42,0
BPS006,20131025,1007.05,1007.05,1007.05,1007.05,0
BPS006,20131028,1006.97,1006.97,1006.97,1006.97,0
BPS006,20131029,1007.15,1007.15,1007.15,1007.15,0
BPS006,20131030,1007.28,1007.28,1007.28,1007.28,0
BPS006,20131031,1007.58,1007.58,1007.58,1007.58,0
BPS006,20131104,1009.54,1009.54,1009.54,1009.54,0
BPS006,20131105,1009.35,1009.35,1009.35,1009.35,0
BPS006,20131106,1009.18,1009.18,1009.18,1009.18,0
BPS006,20131107,1008.95,1008.95,1008.95,1008.95,0
BPS006,20131108,1009.01,1009.01,1009.01,1009.01,0
BPS006,20131112,1009.52,1009.52,1009.52,1009.52,0
BPS006,20131113,1009.64,1009.64,1009.64,1009.64,0
BPS006,20131114,1009.75,1009.75,1009.75,1009.75,0
BPS006,20131115,1009.31,1009.31,1009.31,1009.31,0
BPS006,20131118,1010.03,1010.03,1010.03,1010.03,0
BPS006,20131119,1010.91,1010.91,1010.91,1010.91,0
BPS006,20131120,1011.02,1011.02,1011.02,1011.02,0
BPS006,20131121,1010.65,1010.65,1010.65,1010.65,0
BPS006,20131122,1010.89,1010.89,1010.89,1010.89,0
BPS006,20131125,1011.23,1011.23,1011.23,1011.23,0
BPS006,20131126,1011.34,1011.34,1011.34,1011.34,0
BPS006,20131127,1011.44,1011.44,1011.44,1011.44,0
BPS006,20131128,1011.57,1011.57,1011.57,1011.57,0
