Name,Date,Open,High,Low,Close,Volume
DWS036,20150316,99.95,99.95,99.95,99.95,0
DWS036,20150317,100.00,100.00,100.00,100.00,0
DWS036,20150318,100.00,100.00,100.00,100.00,0
DWS036,20150319,100.00,100.00,100.00,100.00,0
DWS036,20150320,100.00,100.00,100.00,100.00,0
DWS036,20150323,100.00,100.00,100.00,100.00,0
DWS036,20150324,100.00,100.00,100.00,100.00,0
DWS036,20150325,100.00,100.00,100.00,100.00,0
DWS036,20150326,100.00,100.00,100.00,100.00,0
DWS036,20150327,100.00,100.00,100.00,100.00,0
DWS036,20150330,99.99,99.99,99.99,99.99,0
DWS036,20150331,99.99,99.99,99.99,99.99,0
DWS036,20150401,99.99,99.99,99.99,99.99,0
DWS036,20150402,99.99,99.99,99.99,99.99,0
DWS036,20150407,99.99,99.99,99.99,99.99,0
DWS036,20150408,99.99,99.99,99.99,99.99,0
DWS036,20150409,99.99,99.99,99.99,99.99,0
DWS036,20150410,99.99,99.99,99.99,99.99,0
DWS036,20150413,99.96,99.96,99.96,99.96,0
DWS036,20150414,99.95,99.95,99.95,99.95,0
DWS036,20150415,99.77,99.77,99.77,99.77,0
DWS036,20150416,99.76,99.76,99.76,99.76,0
DWS036,20150417,99.75,99.75,99.75,99.75,0
DWS036,20150420,99.72,99.72,99.72,99.72,0
DWS036,20150421,99.71,99.71,99.71,99.71,0
DWS036,20150422,99.70,99.70,99.70,99.70,0
DWS036,20150423,99.69,99.69,99.69,99.69,0
DWS036,20150424,99.68,99.68,99.68,99.68,0
DWS036,20150427,99.64,99.64,99.64,99.64,0
DWS036,20150428,99.62,99.62,99.62,99.62,0
DWS036,20150429,99.55,99.55,99.55,99.55,0
DWS036,20150430,99.49,99.49,99.49,99.49,0
DWS036,20150504,99.75,99.75,99.75,99.75,0
DWS036,20150505,98.92,98.92,98.92,98.92,0
DWS036,20150506,98.78,98.78,98.78,98.78,0
DWS036,20150507,98.94,98.94,98.94,98.94,0
DWS036,20150508,99.22,99.22,99.22,99.22,0
DWS036,20150511,99.28,99.28,99.28,99.28,0
DWS036,20150512,99.04,99.04,99.04,99.04,0
DWS036,20150513,98.63,98.63,98.63,98.63,0
DWS036,20150514,99.02,99.02,99.02,99.02,0
DWS036,20150515,99.30,99.30,99.30,99.30,0
DWS036,20150518,99.11,99.11,99.11,99.11,0
DWS036,20150519,99.36,99.36,99.36,99.36,0
DWS036,20150520,99.43,99.43,99.43,99.43,0
DWS036,20150521,100.19,100.19,100.19,100.19,0
DWS036,20150522,100.01,100.01,100.01,100.01,0
DWS036,20150525,99.95,99.95,99.95,99.95,0
DWS036,20150526,99.91,99.91,99.91,99.91,0
DWS036,20150527,100.96,100.96,100.96,100.96,0
DWS036,20150528,101.34,101.34,101.34,101.34,0
DWS036,20150529,100.80,100.80,100.80,100.80,0
DWS036,20150601,100.59,100.59,100.59,100.59,0
DWS036,20150602,99.99,99.99,99.99,99.99,0
DWS036,20150603,99.87,99.87,99.87,99.87,0
DWS036,20150605,99.07,99.07,99.07,99.07,0
DWS036,20150608,98.27,98.27,98.27,98.27,0
DWS036,20150609,98.57,98.57,98.57,98.57,0
DWS036,20150610,98.07,98.07,98.07,98.07,0
DWS036,20150611,98.53,98.53,98.53,98.53,0
DWS036,20150612,97.77,97.77,97.77,97.77,0
DWS036,20150615,97.63,97.63,97.63,97.63,0
DWS036,20150616,97.98,97.98,97.98,97.98,0
DWS036,20150617,97.71,97.71,97.71,97.71,0
DWS036,20150618,98.04,98.04,98.04,98.04,0
DWS036,20150619,97.72,97.72,97.72,97.72,0
DWS036,20150622,98.41,98.41,98.41,98.41,0
DWS036,20150623,98.61,98.61,98.61,98.61,0
DWS036,20150624,98.15,98.15,98.15,98.15,0
DWS036,20150625,98.10,98.10,98.10,98.10,0
DWS036,20150626,97.12,97.12,97.12,97.12,0
DWS036,20150629,95.44,95.44,95.44,95.44,0
DWS036,20150630,95.50,95.50,95.50,95.50,0
DWS036,20150701,96.15,96.15,96.15,96.15,0
DWS036,20150702,96.01,96.01,96.01,96.01,0
DWS036,20150703,95.85,95.85,95.85,95.85,0
DWS036,20150706,95.33,95.33,95.33,95.33,0
DWS036,20150707,94.21,94.21,94.21,94.21,0
DWS036,20150708,93.63,93.63,93.63,93.63,0
DWS036,20150709,94.10,94.10,94.10,94.10,0
DWS036,20150710,95.38,95.38,95.38,95.38,0
DWS036,20150713,95.97,95.97,95.97,95.97,0
DWS036,20150714,96.40,96.40,96.40,96.40,0
DWS036,20150715,96.55,96.55,96.55,96.55,0
DWS036,20150716,97.25,97.25,97.25,97.25,0
DWS036,20150717,97.92,97.92,97.92,97.92,0
DWS036,20150720,97.30,97.30,97.30,97.30,0
DWS036,20150721,97.16,97.16,97.16,97.16,0
DWS036,20150722,96.31,96.31,96.31,96.31,0
DWS036,20150723,96.69,96.69,96.69,96.69,0
DWS036,20150724,96.10,96.10,96.10,96.10,0
DWS036,20150727,95.66,95.66,95.66,95.66,0
DWS036,20150728,95.53,95.53,95.53,95.53,0
DWS036,20150729,95.74,95.74,95.74,95.74,0
DWS036,20150730,96.34,96.34,96.34,96.34,0
DWS036,20150731,96.89,96.89,96.89,96.89,0
DWS036,20150803,97.08,97.08,97.08,97.08,0
DWS036,20150804,96.86,96.86,96.86,96.86,0
DWS036,20150805,97.71,97.71,97.71,97.71,0
DWS036,20150806,96.76,96.76,96.76,96.76,0
DWS036,20150807,97.04,97.04,97.04,97.04,0
DWS036,20150810,97.54,97.54,97.54,97.54,0
DWS036,20150811,97.32,97.32,97.32,97.32,0
DWS036,20150812,96.49,96.49,96.49,96.49,0
DWS036,20150813,96.96,96.96,96.96,96.96,0
DWS036,20150814,96.65,96.65,96.65,96.65,0
DWS036,20150817,96.29,96.29,96.29,96.29,0
DWS036,20150818,96.02,96.02,96.02,96.02,0
DWS036,20150819,95.98,95.98,95.98,95.98,0
DWS036,20150820,94.92,94.92,94.92,94.92,0
DWS036,20150821,93.54,93.54,93.54,93.54,0
DWS036,20150824,90.27,90.27,90.27,90.27,0
DWS036,20150825,91.75,91.75,91.75,91.75,0
DWS036,20150826,92.18,92.18,92.18,92.18,0
DWS036,20150827,93.45,93.45,93.45,93.45,0
DWS036,20150828,93.50,93.50,93.50,93.50,0
DWS036,20150831,93.65,93.65,93.65,93.65,0
DWS036,20150901,92.03,92.03,92.03,92.03,0
DWS036,20150902,92.35,92.35,92.35,92.35,0
DWS036,20150903,92.94,92.94,92.94,92.94,0
DWS036,20150904,92.53,92.53,92.53,92.53,0
DWS036,20150907,92.30,92.30,92.30,92.30,0
DWS036,20150908,93.03,93.03,93.03,93.03,0
