Name,Date,Open,High,Low,Close,Volume
PZU011,20101230,100.10,100.10,100.10,100.10,0
PZU011,20101231,99.88,99.88,99.88,99.88,0
PZU011,20110103,100.92,100.92,100.92,100.92,0
PZU011,20110104,100.11,100.11,100.11,100.11,0
PZU011,20110105,98.81,98.81,98.81,98.81,0
PZU011,20110107,98.32,98.32,98.32,98.32,0
PZU011,20110110,97.33,97.33,97.33,97.33,0
PZU011,20110111,97.79,97.79,97.79,97.79,0
PZU011,20110112,99.12,99.12,99.12,99.12,0
PZU011,20110113,99.27,99.27,99.27,99.27,0
PZU011,20110114,99.02,99.02,99.02,99.02,0
PZU011,20110117,99.38,99.38,99.38,99.38,0
PZU011,20110118,101.10,101.10,101.10,101.10,0
PZU011,20110119,100.08,100.08,100.08,100.08,0
PZU011,20110120,99.41,99.41,99.41,99.41,0
PZU011,20110121,99.83,99.83,99.83,99.83,0
PZU011,20110124,99.23,99.23,99.23,99.23,0
PZU011,20110125,98.91,98.91,98.91,98.91,0
PZU011,20110126,99.45,99.45,99.45,99.45,0
PZU011,20110127,99.68,99.68,99.68,99.68,0
PZU011,20110128,99.01,99.01,99.01,99.01,0
PZU011,20110131,98.62,98.62,98.62,98.62,0
PZU011,20110201,99.38,99.38,99.38,99.38,0
PZU011,20110202,99.27,99.27,99.27,99.27,0
PZU011,20110203,99.38,99.38,99.38,99.38,0
PZU011,20110204,99.78,99.78,99.78,99.78,0
PZU011,20110207,99.72,99.72,99.72,99.72,0
PZU011,20110208,99.60,99.60,99.60,99.60,0
PZU011,20110209,99.51,99.51,99.51,99.51,0
PZU011,20110210,98.43,98.43,98.43,98.43,0
PZU011,20110211,98.98,98.98,98.98,98.98,0
PZU011,20110214,98.77,98.77,98.77,98.77,0
PZU011,20110215,98.65,98.65,98.65,98.65,0
PZU011,20110216,98.33,98.33,98.33,98.33,0
PZU011,20110217,97.13,97.13,97.13,97.13,0
PZU011,20110218,97.49,97.49,97.49,97.49,0
PZU011,20110221,97.35,97.35,97.35,97.35,0
PZU011,20110222,97.02,97.02,97.02,97.02,0
PZU011,20110223,97.47,97.47,97.47,97.47,0
PZU011,20110224,97.01,97.01,97.01,97.01,0
PZU011,20110225,97.67,97.67,97.67,97.67,0
PZU011,20110228,98.92,98.92,98.92,98.92,0
PZU011,20110301,98.08,98.08,98.08,98.08,0
PZU011,20110302,98.39,98.39,98.39,98.39,0
PZU011,20110303,99.71,99.71,99.71,99.71,0
PZU011,20110304,100.10,100.10,100.10,100.10,0
PZU011,20110307,100.10,100.10,100.10,100.10,0
PZU011,20110308,100.33,100.33,100.33,100.33,0
PZU011,20110309,100.01,100.01,100.01,100.01,0
PZU011,20110310,99.46,99.46,99.46,99.46,0
PZU011,20110311,99.12,99.12,99.12,99.12,0
PZU011,20110314,99.13,99.13,99.13,99.13,0
PZU011,20110315,98.61,98.61,98.61,98.61,0
PZU011,20110316,97.84,97.84,97.84,97.84,0
PZU011,20110317,98.93,98.93,98.93,98.93,0
PZU011,20110318,99.68,99.68,99.68,99.68,0
PZU011,20110321,100.04,100.04,100.04,100.04,0
PZU011,20110322,99.50,99.50,99.50,99.50,0
PZU011,20110323,99.56,99.56,99.56,99.56,0
PZU011,20110324,99.85,99.85,99.85,99.85,0
PZU011,20110325,100.57,100.57,100.57,100.57,0
PZU011,20110328,100.94,100.94,100.94,100.94,0
PZU011,20110329,100.66,100.66,100.66,100.66,0
PZU011,20110330,100.61,100.61,100.61,100.61,0
PZU011,20110331,100.92,100.92,100.92,100.92,0
PZU011,20110401,102.14,102.14,102.14,102.14,0
PZU011,20110404,102.17,102.17,102.17,102.17,0
PZU011,20110405,102.32,102.32,102.32,102.32,0
PZU011,20110406,103.43,103.43,103.43,103.43,0
