Name,Date,Open,High,Low,Close,Volume
SKA057,20131202,100.00,100.00,100.00,100.00,0
SKA057,20131203,100.00,100.00,100.00,100.00,0
SKA057,20131204,100.00,100.00,100.00,100.00,0
SKA057,20131205,100.00,100.00,100.00,100.00,0
SKA057,20131206,100.00,100.00,100.00,100.00,0
SKA057,20131209,100.00,100.00,100.00,100.00,0
SKA057,20131210,100.00,100.00,100.00,100.00,0
SKA057,20131211,100.00,100.00,100.00,100.00,0
SKA057,20131212,99.00,99.00,99.00,99.00,0
SKA057,20131213,98.92,98.92,98.92,98.92,0
SKA057,20131216,99.66,99.66,99.66,99.66,0
SKA057,20131217,99.30,99.30,99.30,99.30,0
SKA057,20131218,99.33,99.33,99.33,99.33,0
SKA057,20131219,100.22,100.22,100.22,100.22,0
SKA057,20131220,100.89,100.89,100.89,100.89,0
SKA057,20131223,101.44,101.44,101.44,101.44,0
SKA057,20131227,101.44,101.44,101.44,101.44,0
SKA057,20131230,102.35,102.35,102.35,102.35,0
SKA057,20140102,102.38,102.38,102.38,102.38,0
SKA057,20140103,102.08,102.08,102.08,102.08,0
SKA057,20140107,101.97,101.97,101.97,101.97,0
SKA057,20140108,102.03,102.03,102.03,102.03,0
SKA057,20140109,102.24,102.24,102.24,102.24,0
SKA057,20140110,102.37,102.37,102.37,102.37,0
SKA057,20140113,102.32,102.32,102.32,102.32,0
SKA057,20140114,101.33,101.33,101.33,101.33,0
SKA057,20140115,102.47,102.47,102.47,102.47,0
SKA057,20140116,102.74,102.74,102.74,102.74,0
SKA057,20140117,102.62,102.62,102.62,102.62,0
SKA057,20140120,102.62,102.62,102.62,102.62,0
SKA057,20140121,102.93,102.93,102.93,102.93,0
SKA057,20140122,102.71,102.71,102.71,102.71,0
SKA057,20140123,102.41,102.41,102.41,102.41,0
SKA057,20140124,101.79,101.79,101.79,101.79,0
SKA057,20140127,100.66,100.66,100.66,100.66,0
SKA057,20140128,100.44,100.44,100.44,100.44,0
SKA057,20140129,100.06,100.06,100.06,100.06,0
SKA057,20140130,100.02,100.02,100.02,100.02,0
SKA057,20140131,99.69,99.69,99.69,99.69,0
SKA057,20140203,99.71,99.71,99.71,99.71,0
SKA057,20140204,97.77,97.77,97.77,97.77,0
SKA057,20140205,97.91,97.91,97.91,97.91,0
SKA057,20140206,99.00,99.00,99.00,99.00,0
SKA057,20140207,99.94,99.94,99.94,99.94,0
SKA057,20140210,100.70,100.70,100.70,100.70,0
SKA057,20140211,101.03,101.03,101.03,101.03,0
SKA057,20140212,102.30,102.30,102.30,102.30,0
SKA057,20140213,101.49,101.49,101.49,101.49,0
SKA057,20140214,102.56,102.56,102.56,102.56,0
