Name,Date,Open,High,Low,Close,Volume
UI_041,20150817,100.00,100.00,100.00,100.00,0
UI_041,20150818,100.00,100.00,100.00,100.00,0
UI_041,20150819,100.00,100.00,100.00,100.00,0
UI_041,20150820,100.00,100.00,100.00,100.00,0
UI_041,20150821,100.00,100.00,100.00,100.00,0
UI_041,20150824,100.01,100.01,100.01,100.01,0
UI_041,20150825,100.02,100.02,100.02,100.02,0
UI_041,20150826,100.02,100.02,100.02,100.02,0
UI_041,20150827,100.03,100.03,100.03,100.03,0
UI_041,20150828,100.03,100.03,100.03,100.03,0
UI_041,20150831,100.04,100.04,100.04,100.04,0
UI_041,20150901,100.05,100.05,100.05,100.05,0
UI_041,20150902,100.05,100.05,100.05,100.05,0
UI_041,20150903,100.05,100.05,100.05,100.05,0
UI_041,20150904,100.06,100.06,100.06,100.06,0
UI_041,20150907,100.07,100.07,100.07,100.07,0
UI_041,20150908,100.07,100.07,100.07,100.07,0
UI_041,20150909,100.08,100.08,100.08,100.08,0
UI_041,20150910,100.08,100.08,100.08,100.08,0
UI_041,20150911,100.08,100.08,100.08,100.08,0
UI_041,20150914,100.09,100.09,100.09,100.09,0
UI_041,20150915,100.10,100.10,100.10,100.10,0
UI_041,20150916,100.10,100.10,100.10,100.10,0
UI_041,20150917,100.11,100.11,100.11,100.11,0
UI_041,20150918,100.11,100.11,100.11,100.11,0
UI_041,20150921,100.12,100.12,100.12,100.12,0
UI_041,20150922,100.12,100.12,100.12,100.12,0
UI_041,20150923,100.13,100.13,100.13,100.13,0
UI_041,20150924,100.13,100.13,100.13,100.13,0
UI_041,20150925,100.13,100.13,100.13,100.13,0
UI_041,20150928,100.14,100.14,100.14,100.14,0
UI_041,20150929,100.15,100.15,100.15,100.15,0
UI_041,20150930,100.15,100.15,100.15,100.15,0
UI_041,20151001,100.15,100.15,100.15,100.15,0
UI_041,20151002,100.14,100.14,100.14,100.14,0
UI_041,20151005,100.13,100.13,100.13,100.13,0
UI_041,20151006,100.13,100.13,100.13,100.13,0
UI_041,20151007,100.12,100.12,100.12,100.12,0
UI_041,20151008,100.12,100.12,100.12,100.12,0
UI_041,20151009,100.11,100.11,100.11,100.11,0
UI_041,20151012,100.10,100.10,100.10,100.10,0
UI_041,20151013,100.10,100.10,100.10,100.10,0
UI_041,20151014,100.09,100.09,100.09,100.09,0
UI_041,20151015,99.35,99.35,99.35,99.35,0
UI_041,20151016,98.41,98.41,98.41,98.41,0
UI_041,20151019,99.63,99.63,99.63,99.63,0
UI_041,20151020,100.19,100.19,100.19,100.19,0
UI_041,20151021,100.47,100.47,100.47,100.47,0
UI_041,20151022,100.09,100.09,100.09,100.09,0
UI_041,20151023,99.78,99.78,99.78,99.78,0
UI_041,20151026,102.24,102.24,102.24,102.24,0
UI_041,20151027,103.95,103.95,103.95,103.95,0
UI_041,20151028,103.74,103.74,103.74,103.74,0
UI_041,20151029,103.32,103.32,103.32,103.32,0
UI_041,20151030,103.83,103.83,103.83,103.83,0
UI_041,20151102,103.93,103.93,103.93,103.93,0
UI_041,20151103,103.10,103.10,103.10,103.10,0
UI_041,20151104,103.55,103.55,103.55,103.55,0
UI_041,20151105,104.15,104.15,104.15,104.15,0
UI_041,20151106,104.68,104.68,104.68,104.68,0
UI_041,20151109,104.46,104.46,104.46,104.46,0
UI_041,20151110,104.45,104.45,104.45,104.45,0
UI_041,20151112,104.43,104.43,104.43,104.43,0
UI_041,20151113,104.68,104.68,104.68,104.68,0
UI_041,20151116,103.36,103.36,103.36,103.36,0
UI_041,20151118,103.54,103.54,103.54,103.54,0
UI_041,20151119,104.75,104.75,104.75,104.75,0
UI_041,20151120,105.33,105.33,105.33,105.33,0
UI_041,20151123,105.27,105.27,105.27,105.27,0
UI_041,20151124,105.88,105.88,105.88,105.88,0
UI_041,20151125,105.98,105.98,105.98,105.98,0
UI_041,20151126,105.39,105.39,105.39,105.39,0
UI_041,20151127,106.00,106.00,106.00,106.00,0
UI_041,20151130,106.39,106.39,106.39,106.39,0
UI_041,20151201,106.46,106.46,106.46,106.46,0
UI_041,20151202,106.55,106.55,106.55,106.55,0
UI_041,20151203,107.06,107.06,107.06,107.06,0
UI_041,20151204,106.88,106.88,106.88,106.88,0
UI_041,20151207,103.32,103.32,103.32,103.32,0
UI_041,20151208,103.99,103.99,103.99,103.99,0
UI_041,20151209,103.96,103.96,103.96,103.96,0
UI_041,20151210,103.01,103.01,103.01,103.01,0
UI_041,20151211,101.77,101.77,101.77,101.77,0
UI_041,20151214,101.73,101.73,101.73,101.73,0
UI_041,20151215,100.08,100.08,100.08,100.08,0
UI_041,20151216,99.42,99.42,99.42,99.42,0
UI_041,20151217,101.05,101.05,101.05,101.05,0
UI_041,20151218,101.96,101.96,101.96,101.96,0
UI_041,20151221,102.34,102.34,102.34,102.34,0
UI_041,20151222,101.50,101.50,101.50,101.50,0
UI_041,20151223,101.06,101.06,101.06,101.06,0
UI_041,20151228,101.34,101.34,101.34,101.34,0
UI_041,20151229,103.36,103.36,103.36,103.36,0
UI_041,20151230,102.40,102.40,102.40,102.40,0
UI_041,20160104,103.55,103.55,103.55,103.55,0
UI_041,20160105,103.57,103.57,103.57,103.57,0
UI_041,20160107,103.05,103.05,103.05,103.05,0
UI_041,20160108,102.03,102.03,102.03,102.03,0
UI_041,20160111,99.86,99.86,99.86,99.86,0
UI_041,20160112,98.54,98.54,98.54,98.54,0
UI_041,20160113,99.20,99.20,99.20,99.20,0
UI_041,20160114,99.53,99.53,99.53,99.53,0
UI_041,20160115,98.79,98.79,98.79,98.79,0
UI_041,20160118,98.91,98.91,98.91,98.91,0
UI_041,20160119,96.53,96.53,96.53,96.53,0
UI_041,20160120,96.80,96.80,96.80,96.80,0
UI_041,20160121,97.54,97.54,97.54,97.54,0
UI_041,20160122,95.51,95.51,95.51,95.51,0
UI_041,20160125,96.45,96.45,96.45,96.45,0
UI_041,20160126,98.61,98.61,98.61,98.61,0
UI_041,20160127,97.83,97.83,97.83,97.83,0
UI_041,20160128,98.77,98.77,98.77,98.77,0
UI_041,20160129,98.91,98.91,98.91,98.91,0
UI_041,20160201,98.38,98.38,98.38,98.38,0
UI_041,20160202,100.91,100.91,100.91,100.91,0
UI_041,20160203,100.83,100.83,100.83,100.83,0
UI_041,20160204,99.63,99.63,99.63,99.63,0
UI_041,20160205,98.52,98.52,98.52,98.52,0
UI_041,20160208,97.02,97.02,97.02,97.02,0
UI_041,20160209,96.34,96.34,96.34,96.34,0
UI_041,20160210,95.47,95.47,95.47,95.47,0
UI_041,20160211,93.93,93.93,93.93,93.93,0
