-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2016-02-11    23:59       18 kB  OPE033.txt        NOVO Akcji Globalnych
2016-02-11    23:59      202 kB  SEB001.txt        NOVO Zrownowazonego Wzrostu
2016-02-11    23:59      203 kB  SEB002.txt        NOVO Obligacji Przedsiebiorstw
2016-02-11    23:59      202 kB  SEB003.txt        NOVO Akcji          
2016-02-11    23:59      188 kB  SEB004.txt        NOVO Stabilnego Wzrostu
2016-02-11    23:59      173 kB  SEB005.txt        NOVO Papierow Dluznych
2016-02-11    23:59       86 kB  SEB009.txt        NOVO Gotowkowy      
2016-02-11    23:59       69 kB  SEB017.txt        NOVO Aktywnej Alokacji
2016-02-11    23:59      214 kB  UI_001.txt        UNIKorona Pieniezny 
2016-02-11    23:59      188 kB  UI_002.txt        UNIKorona Obligacje 
2016-02-11    23:59      231 kB  UI_003.txt        UNIKorona Zrownowazony
2016-02-11    23:59      211 kB  UI_005.txt        UNIKorona Akcje     
2016-02-11    23:59      158 kB  UI_008.txt        UNIWIBID Plus       
2016-02-11    23:59      105 kB  UI_012.txt        UNIAkcje Nowa Europa
2016-02-11    23:59       95 kB  UI_017.txt        UNIObligacje Nowa Europa
2016-02-11    23:59       96 kB  UI_018.txt        UNIStabilny Wzrost  
2016-02-11    23:59       88 kB  UI_019.txt        UNIAkcje Wzrostu    
2016-02-11    23:59       88 kB  UI_021.txt        UNIAkcje Malych i Srednich Spolek
2016-02-11    23:59       55 kB  UI_025.txt        UNIObligacje Aktywny
2016-02-11    23:59       46 kB  UI_027.txt        UniLokata           
2016-02-11    23:59       29 kB  UI_029.txt        UniAkcje Turcja     
2016-02-11    23:59       31 kB  UI_030.txt        UniAkcje Dywidendowy
2016-02-10    23:59      159 kB  AIP001.txt        AVIVA Depozyt Plus  
2016-02-10    23:59      159 kB  AIP002.txt        AVIVA Obligacji     
2016-02-10    23:59      158 kB  AIP003.txt        AVIVA Polskich Akcji
2016-02-10    23:59      159 kB  AIP004.txt        AVIVA Stabilnego Inwestowania
2016-02-10    23:59      130 kB  AIP005.txt        AVIVA Ochrony Kapitalu Plus
2016-02-10    23:59      121 kB  AIP006.txt        AVIVA Aktywnej Alokacji
2016-02-10    23:59      101 kB  AIP007.txt        AVIVA Zrownowazony  
2016-02-10    23:59       86 kB  AIP008.txt        AVIVA Akcji Europy Wschodzacej
2016-02-10    23:59       87 kB  AIP009.txt        AVIVA Nowoczesnych Technologii
2016-02-10    23:59       89 kB  AIP010.txt        AVIVA Malych Spolek 
2016-02-10    23:59       88 kB  AIP011.txt        AVIVA Nowych Spolek 
2016-02-10    23:59       65 kB  AIP016.txt        AVIVA Optymalnego Wzrostu
2016-02-10    23:59       53 kB  AIP017.txt        AVIVA Akcji Rynkow Wschodzacych
2016-02-10    23:59       48 kB  AIP018.txt        AVIVA Obligacji Dynamiczny
2016-02-10    23:59       48 kB  AIP019.txt        AVIVA Dluznych Papierow Korporacyjnych
2016-02-10    23:59      138 kB  ALL001.txt        ALLIANZ Akcji       
2016-02-10    23:59      153 kB  ALL002.txt        ALLIANZ Obligacji Plus
2016-02-10    23:59      138 kB  ALL003.txt        ALLIANZ Stabilnego Wzrostu
2016-02-10    23:59      112 kB  ALL004.txt        ALLIANZ Aktywnej Alokacji
2016-02-10    23:59      116 kB  ALL005.txt        ALLIANZ Pieniezny   
2016-02-10    23:59      114 kB  ALL006.txt        ALLIANZ Polskich Obligacji Skarbowych
2016-02-10    23:59       94 kB  ALL012.txt        ALLIANZ MiS Spolek  
2016-02-10    23:59       90 kB  ALL014.txt        ALLIANZ Selektywny  
2016-02-10    23:59       24 kB  ALL032.txt        ALLIANZ Akcji Globalnych
2016-02-10    23:59       23 kB  ALL033.txt        ALLIANZ Surowcow i Energii
2016-02-10    23:59       24 kB  ALL034.txt        ALLIANZ Obligacji Globalnych
2016-02-10    23:59       54 kB  BPS001.txt        BPS Pieniezny FIO   
2016-02-10    23:59       54 kB  BPS002.txt        BPS Obligacji FIO   
2016-02-10    23:59       53 kB  BPS003.txt        BPS Stabilnego Wzrostu FIO
2016-02-10    23:59       51 kB  BPS004.txt        BPS Akcji FIO       
2016-02-10    23:59       29 kB  BPS005.txt        BPS Plynnosciowy SFIO
2016-02-10    23:59       29 kB  BPS006.txt        BPS Obligacji Korporacyjnych SFIO
2016-02-10    23:59      156 kB  KBC001.txt        KBC Aktywny         
2016-02-10    23:59      156 kB  KBC003.txt        KBC Pieniezny       
2016-02-10    23:59      162 kB  KBC004.txt        KBC Stabilny        
2016-02-10    23:59      162 kB  KBC005.txt        KBC Papierow Dluznych
2016-02-10    23:59       99 kB  KBC026.txt        KBC Akcyjny         
2016-02-10    23:59       88 kB  KBC035.txt        KBC Akcji Malych i Srednich Sp. FIO
2016-02-10    23:59       55 kB  KBC064.txt        KBC Globalny Akcyjny
2016-02-10    23:59       54 kB  KBC065.txt        KBC Obligacji Korporacyjnych
2016-02-10    23:59       44 kB  KBC070.txt        KBC Zmiennej Alokacji
2016-02-10    23:59      162 kB  MIL001.txt        MILLENNIUM Akcji    
2016-02-10    23:59      162 kB  MIL003.txt        MILLENNIUM Cyklu Koniunkturalnego
2016-02-10    23:59      162 kB  MIL004.txt        MILLENNIUM Depozytowy
2016-02-10    23:59      138 kB  MIL006.txt        MILLENNIUM Stabilnego Wzrostu
2016-02-10    23:59       93 kB  MIL017.txt        MILLENNIUM Dynamicznych Spolek
2016-02-10    23:59      105 kB  NOB001.txt        NOBLE FUND Pieniezny
2016-02-10    23:59      104 kB  NOB002.txt        NOBLE FUND Mieszany 
2016-02-10    23:59      104 kB  NOB003.txt        NOBLE FUND Akcji    
2016-02-10    23:59       90 kB  NOB004.txt        NOBLE FUND Akcji Malych i Srednich Spolek
2016-02-10    23:59       91 kB  NOB005.txt        NOBLE FUND Stab. Wzrostu Plus
2016-02-10    23:59       86 kB  NOB006.txt        NOBLE FUND Timingowy
2016-02-10    23:59       79 kB  NOB007.txt        NOBLE FUND Global Return
2016-02-10    23:59       56 kB  NOB010.txt        NOBLE FUND Africa and Frontier
2016-02-10    23:59       20 kB  NOB018.txt        NOBLE FUND Obligacji
2016-02-10    23:59      206 kB  PKO001.txt        PKO Zrownowazony    
2016-02-10    23:59      201 kB  PKO002.txt        PKO Stabilnego Wzrostu
2016-02-10    23:59      186 kB  PKO005.txt        PKO Skarbowy        
2016-02-10    23:59      135 kB  PKO006.txt        PKO Rynku Pienieznego
2016-02-10    23:59      113 kB  PKO008.txt        PKO Akcji Nowa Europa
2016-02-10    23:59      117 kB  PKO014.txt        PKO Obligacji Dlugoterminowych
2016-02-10    23:59      111 kB  PKO015.txt        PKO Akcji MiS Spolek
2016-02-10    23:59       93 kB  PKO020.txt        PKO Strategicznej Alokacji
2016-02-10    23:59       92 kB  PKO021.txt        PKO Akcji Plus      
2016-02-10    23:59      100 kB  PKO024.txt        PKO Papierow Dluznych Plus
2016-02-10    23:59       64 kB  PKO026.txt        PKO Surowcow Globalny
2016-02-10    23:59       67 kB  PKO027.txt        PKO Technologii i Innowacji Globalny
2016-02-10    23:59       67 kB  PKO028.txt        PKO Dobr Luksusowych Globalny
2016-02-10    23:59       62 kB  PKO029.txt        PKO Infrastruktury i Budownictwa
2016-02-10    23:59      178 kB  PZU001.txt        PZU Akcji Krakowiak 
2016-02-10    23:59      181 kB  PZU002.txt        PZU Stabilnego Wzrostu Mazurek
2016-02-10    23:59      178 kB  PZU003.txt        PZU Papierow Dluznych Polonez
2016-02-10    23:59      111 kB  PZU004.txt        PZU Gotowkowy       
2016-02-10    23:59      107 kB  PZU005.txt        PZU Zrownowazony    
2016-02-10    23:59      107 kB  PZU006.txt        PZU Akcji Nowa Europa
2016-02-10    23:59       98 kB  PZU007.txt        PZU FIO Ochrony Majatku
2016-02-10    23:59       98 kB  PZU008.txt        PZU Akcji Malych i Srednich Spolek
2016-02-10    23:59       86 kB  PZU014.txt        PZU Energia Medycyna Ekologia
2016-02-10    23:59       78 kB  PZU016.txt        PZU Sejf+           
2016-02-10    23:59       63 kB  SUP001.txt        SUPERFUND SFIO RED  
2016-02-10    23:59       64 kB  SUP002.txt        SUPERFUND SFIO B    
2016-02-10    23:59       63 kB  SUP003.txt        SUPERFUND SFIO C    
2016-02-10    23:59       51 kB  SUP004.txt        SUPERFUND Trend Plus Powiazany SFIO
2016-02-10    23:59       53 kB  SUP006.txt        SUPERFUND Akcji     
2016-02-10    23:59       58 kB  SUP007.txt        SUPERFUND SFIO Plynnosciowy
2016-02-10    23:59       53 kB  SUP008.txt        SUPERFUND GoldFuture
2016-02-10    23:59       24 kB  SUP009.txt        SUPERFUND Akcyjny   
2016-02-10    23:59       25 kB  SUP010.txt        SUPERFUND Obligacyjny
2016-02-10    23:59       25 kB  SUP011.txt        SUPERFUND Pieniezny 
2016-02-10    23:59       25 kB  SUP012.txt        SUPERFUND Alternatywny
2016-02-10    23:59       14 kB  UI_034.txt        UNIStrategie Dynamiczny
2016-02-10    23:59       14 kB  UI_035.txt        UNIObligacje Zamienne
2016-02-10    23:59       13 kB  UI_036.txt        UNIAkcje: Daleki Wschod
2016-02-10    23:59        9 kB  UI_038.txt        UniDynamiczna Alokacja Aktywow
2016-02-10    23:59        5 kB  UI_041.txt        UNIAkcje Globalny Dywidendowy
2016-02-10    23:59        6 kB  UI_042.txt        UNIAkcje Biopharma  
2016-02-09    23:59       43 kB  AGI004.txt        AGIO Kapital Plus   
2016-02-09    23:59       95 kB  AIG001.txt        MetLife Obligacji Skarbowych
2016-02-09    23:59      111 kB  AIG002.txt        MetLife Aktywnej Alokacji
2016-02-09    23:59      122 kB  AIG003.txt        MetLife Stabilnego Wzrostu
2016-02-09    23:59      122 kB  AIG004.txt        MetLife Akcji       
2016-02-09    23:59      113 kB  AIG005.txt        MetLife Pieniezny   
2016-02-09    23:59      107 kB  AIG006.txt        MetLife Zrownowazony Nowa Europa
2016-02-09    23:59       86 kB  AIG007.txt        MetLife Akcji Srednich Spolek
2016-02-09    23:59       97 kB  AIG008.txt        MetLife Lokacyjny   
2016-02-09    23:59       97 kB  AIG009.txt        MetLife Obligacji Plus
2016-02-09    23:59       88 kB  AIG010.txt        MetLife Akcji Malych Spolek
2016-02-09    23:59       87 kB  AIG011.txt        MetLife Ochrony Wzrostu
2016-02-09    23:59       90 kB  AIG012.txt        MetLife Akcji Nowa Europa
2016-02-09    23:59       87 kB  AIG013.txt        MetLife Akcji Polskich
2016-02-09    23:59       86 kB  AIG014.txt        MetLife Obligacji Swiatowych
2016-02-09    23:59       89 kB  AIG015.txt        MetLife Akcji Amerykanskich
2016-02-09    23:59       94 kB  AIG016.txt        MetLife Zrownowazony Azjatycki
2016-02-09    23:59       29 kB  AIG017.txt        MetLife Akcji Rynkow Rozwinietych
2016-02-09    23:59       83 kB  AIG018.txt        MetLife Akcji Rynkow Wschodzacych
2016-02-09    23:59       90 kB  AIG019.txt        MetLife Akcji Chinskich i Azjatyckich
2016-02-09    23:59       14 kB  AIP021.txt        AVIVA Obligacji Zamiennych
2016-02-09    23:59        3 kB  AIP099.txt        AVIVA Oszczednosciowy
2016-02-09    23:59       38 kB  ALT001.txt        ALTUS Absolutnej St. Zwr. Rynku Pol.
