-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2016-04-21    15:42      253 kB  AUD.txt           dolar australijski  
2016-04-21    15:42       98 kB  BGN.txt           lew bulgarski       
2016-04-21    15:42       90 kB  BRL.txt           real brazylijski    
2016-04-21    15:42      253 kB  CAD.txt           dolar kanadyjski    
2016-04-21    15:42      253 kB  CHF.txt           frank szwajcarski   
2016-04-21    15:42       50 kB  CLP.txt           peso chilijskie     
2016-04-21    15:42       90 kB  CNY.txt           yuan renminbi (Chiny)
2016-04-21    15:42      188 kB  CZK.txt           korona czeska       
2016-04-21    15:42      253 kB  DKK.txt           korona dunska       
2016-04-21    15:42      188 kB  EUR.txt           euro                
2016-04-21    15:42      253 kB  GBP.txt           funt szterling      
2016-04-21    15:42      145 kB  HKD.txt           dolar Hongkongu     
2016-04-21    15:42       90 kB  HRK.txt           kuna chorwacka      
2016-04-21    15:42      188 kB  HUF.txt           forint (Wegry)      
2016-04-21    15:42       90 kB  IDR.txt           rupia (Indonezja)   
2016-04-21    15:42       51 kB  ILS.txt           nowy szekel izraelski
2016-04-21    15:42       51 kB  INR.txt           rupia indyjska      
2016-04-21    15:42       90 kB  ISK.txt           korona islandzka    
2016-04-21    15:42      253 kB  JPY.txt           jen (Japonia)       
2016-04-21    15:42       90 kB  KRW.txt           won (Korea Pld.)    
2016-04-21    15:42       90 kB  MXN.txt           peso meksykanskie   
2016-04-21    15:42       90 kB  MYR.txt           ringgit malezyjski  
2016-04-21    15:42      253 kB  NOK.txt           korona norweska     
2016-04-21    15:42       90 kB  NZD.txt           dolar nowozelandzki 
2016-04-21    15:42       90 kB  PHP.txt           peso filipinskie    
2016-04-21    15:42       98 kB  RON.txt           lej rumunski        
2016-04-21    15:42      145 kB  RUB.txt           rubel rosyjski      
2016-04-21    15:42      253 kB  SEK.txt           korona szwedzka     
2016-04-21    15:42       90 kB  SGD.txt           dolar singapurski   
2016-04-21    15:42       90 kB  THB.txt           bat (Tajlandia)     
2016-04-21    15:42       90 kB  TRY.txt           lira turecka        
2016-04-21    15:42      145 kB  UAH.txt           hrywna (Ukraina)    
2016-04-21    15:42      253 kB  USD.txt           dolar amerykanski   
2016-04-21    15:42      253 kB  XDR.txt           SDR (MFW)           
2016-04-21    15:42      145 kB  ZAR.txt           rand (RPA)          
-------------------------------------------------------------------------
                        5192 kB  35 plikow
